day,wind_speed,precipitation_amount,air_temperature,mean_vapor_pressure_deficit
1979-12-31,12.5,40.1,306.0,1.54
1980-12-31,11.3,51.7,307.3,1.74
1981-12-31,10.0,67.5,306.7,1.47
1982-12-31,11.9,28.900000000000002,307.6,1.5
1983-12-31,11.100000000000001,35.300000000000004,307.2,1.58
1984-12-31,9.8,39.0,305.8,1.52
1985-12-31,10.600000000000001,43.7,306.0,1.54
1986-12-31,11.4,28.8,305.9,1.6600000000000001
1987-12-31,9.9,29.0,306.8,1.75
1988-12-31,9.9,29.400000000000002,308.9,2.11
1989-12-31,11.100000000000001,32.800000000000004,307.4,1.42
1990-12-31,9.4,51.6,307.7,1.8900000000000001
1991-12-31,8.700000000000001,33.300000000000004,309.0,1.87
1992-12-31,9.600000000000001,36.1,303.7,1.62
1993-12-31,11.200000000000001,49.7,307.8,1.67
1994-12-31,9.3,48.300000000000004,307.7,1.7
1995-12-31,10.8,54.0,309.3,1.8
1996-12-31,11.3,85.0,305.1,1.61
1997-12-31,10.4,25.8,307.1,1.6300000000000001
1998-12-31,9.700000000000001,33.4,305.1,1.46
1999-12-31,10.100000000000001,71.8,309.0,1.67
2000-12-31,10.0,33.0,303.8,1.4000000000000001
2001-12-31,10.700000000000001,81.5,309.0,1.9000000000000001
2002-12-31,10.8,42.6,308.3,1.75
2003-12-31,12.600000000000001,36.5,305.7,1.49
2004-12-31,10.200000000000001,56.900000000000006,303.7,1.22
2005-12-31,11.0,46.900000000000006,307.5,1.6600000000000001
2006-12-31,11.3,42.1,307.5,1.6500000000000001
2007-12-31,11.5,31.8,307.2,1.6
2008-12-31,11.9,33.300000000000004,306.8,1.52
2009-12-31,11.5,33.5,305.8,1.86
2010-12-31,11.3,92.30000000000001,308.2,1.75
2011-12-31,12.5,119.9,310.4,1.8
2012-12-31,10.8,37.2,308.0,1.75
2013-12-31,11.700000000000001,80.10000000000001,308.6,1.73
2014-12-31,10.8,56.1,306.0,1.8900000000000001
2015-12-31,10.3,66.0,307.7,1.97
2016-12-31,10.5,83.60000000000001,308.1,2.06
2017-12-31,10.3,82.2,306.6,1.72
2018-12-31,11.9,45.5,308.6,1.87
2019-12-31,12.600000000000001,39.5,306.5,1.6
2020-12-31,10.700000000000001,43.300000000000004,308.5,1.85
2021-12-31,10.9,63.6,307.7,2.0
2022-12-31,10.8,64.9,308.2,1.8
